Sequence  | Length  | Host                          | OpId                                                        | Address         | OpName        | OpSig                                                                           | Data| Operation
0         | 67      | intrinsics/dinx               | vbitblend_(v128x8u,v128x8u,v128x8u)                         | 7ff7c83d74a0h   | vbitblend     | Vector128<byte> vbitblend(Vector128<byte> x, Vector128<byte> y, Vector128<byte> mask)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 ef ca c4 c1 79 10 11 c5 f1 db ca c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
901       | 679     | intrinsics/dinx               | vhi_(v128x16u)                                              | 7ff7c83e9120h   | vhi           | Vector128<ushort> vhi(Vector128<ushort> src)                                    | c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 c0 57 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 10 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 78 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 c8 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 18 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 70 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
902       | 631     | intrinsics/dinx               | vhi_(v128x32i)                                              | 7ff7c83e9150h   | vhi           | Vector128<int> vhi(Vector128<int> src)                                          | c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 10 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 78 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 c8 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 18 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 70 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
903       | 583     | intrinsics/dinx               | vhi_(v128x32u)                                              | 7ff7c83e9180h   | vhi           | Vector128<uint> vhi(Vector128<uint> src)                                        | c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 78 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 c8 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 18 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 70 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
904       | 535     | intrinsics/dinx               | vhi_(v128x64i)                                              | 7ff7c83e91b0h   | vhi           | Vector128<long> vhi(Vector128<long> src)                                        | c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 c8 58 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 18 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 70 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
905       | 487     | intrinsics/dinx               | vhi_(v128x64u)                                              | 7ff7c83e91e0h   | vhi           | Vector128<ulong> vhi(Vector128<ulong> src)                                      | c5 f8 77 66 90 c5 f9 10 02 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c5 f9 11 01 48 8b c1 c3 cc cc 00 00 19 00 00 00 40 00 00 00 18 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 70 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
906       | 439     | intrinsics/dinx               | vhi_(v256x8i)                                               | 7ff7c83e9210h   | vhi           | Vector128<sbyte> vhi(Vector256<sbyte> src)                                      | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 70 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
907       | 391     | intrinsics/dinx               | vhi_(v256x32u)                                              | 7ff7c83e9240h   | vhi           | Vector128<uint> vhi(Vector256<uint> src)                                        | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 59 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
908       | 343     | intrinsics/dinx               | vhi_(v256x64u)                                              | 7ff7c83e9270h   | vhi           | Vector128<ulong> vhi(Vector256<ulong> src)                                      | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
909       | 295     | intrinsics/dinx               | vhi_(v256x8u)                                               | 7ff7c83e92a0h   | vhi           | Vector128<byte> vhi(Vector256<byte> src)                                        | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
910       | 247     | intrinsics/dinx               | vhi_(v256x16i)                                              | 7ff7c83e92d0h   | vhi           | Vector128<short> vhi(Vector256<short> src)                                      | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 e8 5a 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
911       | 199     | intrinsics/dinx               | vhi_(v256x16u)                                              | 7ff7c83e9300h   | vhi           | Vector128<ushort> vhi(Vector256<ushort> src)                                    | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 40 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
912       | 151     | intrinsics/dinx               | vhi_(v256x32i)                                              | 7ff7c83e9330h   | vhi           | Vector128<int> vhi(Vector256<int> src)                                          | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 98 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
913       | 103     | intrinsics/dinx               | vhi_(v256x64i)                                              | 7ff7c83e9360h   | vhi           | Vector128<long> vhi(Vector256<long> src)                                        | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c0 01 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 f0 5b 48 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
914       | 55      | intrinsics/dinx               | vhi_(v256x64u,64u~out,64u~out)                              | 7ff7c83e9390h   | vhi           | void vhi(Vector256<ulong> src, out ulong x0, out ulong x1)                      | c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
915       | 55      | intrinsics/dinx               | vhi_(v256x8u,64u~out,64u~out)                               | 7ff7c83e93d0h   | vhi           | void vhi(Vector256<byte> src, out ulong x0, out ulong x1)                       | c5 f8 77 66 90 c5 fd 10 01 c4 e3 7d 19 c0 01 c4 e1 f9 7e c0 48 89 02 c4 e3 f9 16 c0 01 49 89 00 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
